Content,sentiment
depressed watching think dance,negative
cross cause im stuck twiddling thumb ugh,negative
miss th,neutral
know like said no idea long take investigate stuff,neutral
cant sleep im sore move,negative
awe miss baby,neutral
answered never learned write french basic stuff,neutral
chocolate never say no,neutral
achieving new appreciation xml build script really painful cumbersome,negative
im awake ill nap afternoon,neutral
cant anything,negative
still need another hour sleep,neutral
im work,positive
rip leonardo great mini fiddler crab,positive
morning tweepleway early,neutral
last day working uni today sad time,negative
thanks neemah im gonna soo close izzy yet far,positive
head hurt bad could scream,negative
go im tired airmatras broken somewhere im even pain,negative
new work wellness challenge not going well committed not check email pm failed first day twice,negative
new blog post blog auto insuran found auto insurance policy expired careless meanw,negative
bestfriends mia wat,neutral
oh meni really cant see facecmon guy,negative
im showing age renewed tag last week went got insurance renewal email today went dont wanna old,negative
sole supporter not sole supporter,negative
dont hate finish work there still hour left work time,negative
urgh stop guy,negative
still missing husband really want home,negative
miss puppy,negative
day month left mb left onpeak downloads,positive
didnt get memo look amazing,positive
ive given pizza kid would never let fav hot one,negative
reading tabloid people livesthinking im gonna mine baby leaf,negative
yearling pet home died sad whole family,negative
fun sun hmm hell no cold,neutral
got giant splinter stuck underneath finger nail today muppetsit hurt got go first aid first time,negative
hate change course fan life oh havent met rob something went horribly wrong,negative
feeling sad reason,negative
well fuck new pain med odd warning actually applies cant take chan displeased,negative
uploaded new blog painful story year old man cried wanted die sad,negative
dont think want detail,neutral
hi mary poppins,neutral
addicting kind curse night time everytime one feel like making music afterwards,negative
last tweet didnt send bad phone,neutral
omg ur alive lol day gone soo slow im going insane grr anything tonight,positive
headache im going bed goodnight,neutral
watching parental control,neutral
get california vintage ahahah best dress want dont ebay,positive
saw pic past thanksgiving sad grandma,negative
wont let,negative
took shift tomorrow dont really feel like working right,negative
no money phone,negative
spent last night ae er wife tangled wheel daughter hit deck dislocation fracture resulted,negative
day im ready visit torchwood see theyve heard anything,negative
bris cant hear thunder,positive
bec v fat food winner fat food not weeknend ill beat,positive
bad red devil disappointing say least,negative
dream pretty pretty beach no beach woke,positive
ware se not fast enough x xm ssd raid mhz iop hpt might try adaptec ghz,negative
da heck garage man get ask,positive
ate mandy please forgive really sorry dont wanna lose bff,negative
umm yeah thats probably pretty good note self ee,negative
plane ticket expensive,negative
umm yeah thats probably pretty good note self ee,positive
need job badly,negative
daammnn wish,negative
went di bella coffee roaster today asked job person needed speak holiday fb,negative
played latter part voodoo village part coop lost usual partner,negative
nite im n bored opposed almost sleep frm b,neutral
bad friend,negative
happy birthdayy hope awesome day didnt see next last night,neutral
im shit right im vacation got workin,negative
ill oir,neutral
guess no go girlie im still gym work,neutral
would wish severe migrains would stop doc prescription arent working,negative
missed game,positive
no internet last night er brill massive explosion end nearby gas work er standby,negative
cuz airline super lame,negative
still pity come no lamb though,negative
im sorry hear optimist thing get better u,negative
done painting bedroom furniture still table wait move uggh moving heat,positive
im tiredand insomnia,negative
hungry fool ill probably never see krispy kreme enjoy closing,neutral
airport didnt show tonight homo,neutral
hate bakersfield hate port let go home already want start vacation,negative
looking desktop twitter app actually let access url suggestion liked twittle no linking,neutral
people house not know close door,negative
completing facebook quiz time morning especially friday morning,positive
soo hungry,neutral
dont like possibility left side brain hurting thing called vp shunt possible death,negative
cancel wow,negative
want make music profile dont money dont know write music dont know play instrument no studio,negative
yeahim sad ravenclaw account love account bit,negative
hear helicopter flying house thats kind weird news headache back boo,negative
oh no always,negative
back school m suhanas last day ft ocu okay im playing altnoy,neutral
poll trying get work powerpoint no avail,neutral
took math test today day test teacher say bring calculator luke confident teacher decided no calcs,positive
omg concert awesome madrigal gave chill almost every piecebrooks also called alumnus didnt get go,positive
yeah terrible cockatoo hardest live emotional good thing found though,neutral
late nothin,negative
think vog making sicker think feeling slightly achy,negative
watching harper island lol no vodka involved,neutral
homework sux big time math worst,negative
would better imo let play song provided start get black,neutral
wordsaftersex never started,neutral
sometimes wish thing could go back way beginning last summer,negative
downloaded new twitterfon update thinking fixing typing problem new tweet no didnt,negative
trudys burnetthe one north no one go,neutral
feel way guess no matter always meme,negative
cant minute treadmill done minute today already gonna minute,positive
im soo confused,negative
friend like vaikonedumaran ltte didnt need enemy wrong advice wrong time led numerous death lost cause well,neutral
work day,negative
chillin roomy cant wait zombie clwn cr gonna week,positive
loove guitar playing think sound magnificent better,neutral
no refund retrieve account take like week hoping thief doesnt use hack permaban,negative
no im not cry lol,neutral
cute malay girl came seemy room rent sadly think guyfreind bit misleading disappointing lol,negative
epicentre wheelock place unit tourist starting today,positive
hate new mt dew commercialthe one giant mosquitoit scare gross time,negative
come knight well hour,neutral
not super keen drive home rain additional concentration required dont really wanna deal,negative
aw u cant let secret,positive
im sorry dont think stick least compared used look like,positive
no transport church wont making im crushed oh well time assignment suppose throat really hurt,negative
hate see pregnant woman smokingg soo irresponsible n selfish saad ultimately baby one suffers,negative
liesliesliesyou cant avoid lie practicallyeverything,negative
twittascope not rocking sock go away already,neutral
driving back home forgot piece cake,neutral
tried jumping without trampoline like thud thud shouldnt eaten cookie,negative
everytime send email coach feel need practice shitty ball lol,negative
pissing not letting follow ericka,negative
going sleep not peaceful wanted hear say good night didnt happen good night everyone,negative
mum trying make feel ebtter stopping voting adn not winning shortstack almost cried,negative
close tacosone spot late,neutral
umm bout emaint get see da game see dey survived anotha game da series due notin lebron im guessin,neutral
thinking much im work,positive
forgot live jonas brother facebook,negative
havent seen muffin two whole day,negative
ill miss yall back give regard,negative
gap year going quick,positive
admit im bit bummed wasnt friend walking today,negative
girl blunt soo thought right absolutly great day stressorscome home,neutral
twitter hacked,negative
found mj mouse flat dj course none left size,negative
wont time buy need new binder pa,neutral
hahaha well try ugly,negative
man ulduar hard,neutral
dont even want know know vhemt dont go wed miss,negative
thats awesome weekend cant go im moving sat lot fun though,positive
night night twitter world still cant believe thomas thing tomorrow gunna funsad,neutral
happening,neutral
oh no hug,positive
bored talking someone theyre busy something else kinda bummer idk,neutral
knoww thing wont samee,negative
omgness pm need beup early set garage sale start wish said im beat,negative
kno doo yall partyin,positive
okay twitter suddenly changed respond message,negative
ugh dad told read article kavya shivashankar spellin bee girland like,neutral
decided no matter good hair look curly doesnt justify burn get curler hand covered suck,negative
going sleep gonna fall asleep playing apps tmrw going suck,negative
yea gotta,neutral
hate bf beat da dog guess way teach pitt,negative
sprained ankle like really badly tore stuff hurt birthday weekend,negative
cant believe metal gear solid song stolen im disappointed,negative
think may broke toe bar tonightthanks drunk girl steppin,negative
not one sale done today work explored balcony big theater w coworkers fun day void chili fry tip,neutral
wish left dead first id need something play,negative
story reminds living portugal,neutral
youre diabetic dad might not sure still allowed eat sugar throughout day,neutral
spilled beer leg wasted half beer home met cute girl good conversation,positive
roommate love ignore,negative
ill make nacho tomorrow better would made,neutral
yeahh dont judge pillow,neutral
scary lightning thunder im glad going sleep hope im not late school tomorow haha,positive
teeth head hurt,negative
hate rob zombie movie smell weed vomm,negative
math science strongest thinkdunno bout geography like day study year work,negative
waiting line tryst,negative
hope get job cuz need apartment im drunk miss lil punkin tehe,negative
got home not wanting read last chaper breaking dawn cause dont want beover,negative
need held gnite,negative
hanging sam billy veronica not going school tomorrow take sam body shop dang car accident,negative
no arrested development sad,negative
wicked time leaving come cant stay night,neutral
omg keep losing follower sad want one daythats goal,negative
feel deflated no doggy,negative
wanna see hair hows everyone,negative
empty trash mac one difficult thing ever done life picture gone,negative
im contacting paw philippine find tiger new owner im sad love dog soo much,negative
got home not wanting read last chaper breaking dawn cause dont want,negative
aww pray arroyo family everyone,negative
there manual process taking ever outlook database pff crappy msft product,neutral
fuudge movie store closed,negative
alo sad quiet empty tonight,negative
hahahaha not horrible others singing im sure could work wish could afford drum set,negative
never answered dm sent need info,negative
trying get pilot first season friday night light oh gosh pas tissue,negative
aw headed cancelled trip aussie,negative
cystic lacrimal infectection eye face swollen hurt,negative
didnt think anyone caught,negative
need sleeping im not even tired,neutral
oh nevermind think thing unsalvageable,neutral
lyin bed faar early,neutral
sad christian lacroix file bankruptcy,negative
dont feel good fuckk,negative
agree work double shift,negative
look like ill never go zoo,negative
ohh poor girl ill email relying october mr,negative
medhurst play,neutral
bad time,negative
aarrgghh fuka hose leaked water new floating floor,negative
go dreaded dmv tomorrow,negative
im bit ben thaied,neutral
english class working interactive oral,positive
thank rec doesnt work,negative
im sorry excited tomorrow night karaoke getting anything special bday,neutral
puppy gizmo h haha still growl always look back long pruple scar fingie,negative
dont know ima work tomorrow wit body dis sore ugh,negative
wo,neutral
yeah plus little far walk pinocchios sushi,neutral
im feeling pressure head always kick nasty headache im not looking forward,negative
taylor swift joe jonas looked really good together im kinda sad broke,negative
im suppose turn sentence outline research paper within hour online neck hurt,negative
lady across way miscarriage say prayer,negative
god want sleep,negative
ohh thunderstormsboo always make power go,negative
feel deflated no doggy,negative
found book starting real paperbound journal tonight annoying zit lip make look like herpes,negative
ratt rocked nashville toniteone thing sucked no encore like still fun show pearcy hott bad boy look,negative
feeling bad got bad news mum,negative
dun wanna,negative
damn girl im ya gotta let know get kit together got flyer next weekend im,negative
dbl boo sick flippin blow bahaha kno dont many friend either feel lame haha,negative
thats thinking time gonna,neutral
peep still fun time gotta sleep tho work cool hot chick none cool missing,neutral
dont feel like working think tweet often,negative
feel sick stomach idkk whyy,negative
vinerinimic special sau probabil un alt weekend pierdut,negative
counting hour lost sunshine weekend,neutral
dude saw sf pic look like mini excursion pretty kick as didnt see sun tho,positive
home safely hungry,positive
um thrown van yesterday taken er,negative
got final table butwent third dont think ill getting free seat,negative
good morning work morning gutted lol nevermind,neutral
work morning friend get party upstupid bberry lite flashing red no message,negative
fb boring wanna sing right,positive
link doesnt work,negative
hahaha dont know anyone anything except power lol live bubble,neutral
humpalow um ya think cell dying,negative
last day worksick bone,negative
feel like im house arrest,negative
love like wareasy begin hard endfiuuhh,neutral
ur supposed bk tho,positive
know shortage shell crab use beach due beach comber sad,negative
oh no nighty night,positive
must new music wont sleep give u chapter might die first though hurry,positive
stupid tooth hurt,negative
love song together thats song mewell think still,positive
ready go school,neutral
computer broken broke laptop use phone ahh still cause fucked order,negative
good isnt holiday chalet sight look v similar one going home today,neutral
sad economy heard another friend losing job sad reminder,negative
im starting feel really panicky anxious something bad happened co seems like age,negative
dog ran awayy,negative
suck bad,negative
im back top molar extracted swollen face numb no toothache sinus pain,negative
finished hour texas life insurance ce tonight hour go,positive
anyone know good rap song need make rapfun cd no idea hellpp,negative
want go peru summer ahh hopefully yesyesyes miss,positive
happen maid quit,neutral
im awake anybody else awake wish lived u since fun happens im asleep,negative
charles power lol damn savemart lost power could not buy beer,negative
heehee love tired,negative
mobile phone refuse charge either battery broken chargerr boo,negative
oh wish would get sign something send let call meet something,negative
hmm thought u sleeping bad cant see video tomorrow night,negative
morning everyone sorry going early last night bad news felt totally crap today new day,negative
went beach started raining,neutral
wish parent put chinese school younger itll much easier get job,negative
yeah physically moving apparently well reporting directly mr hayward,positive
airport didnt show tonight homo,neutral
jealous look like schindlers list toronto,negative
want another tatt,positive
come erock left bah,neutral
need make lot money tomorrow,positive
room make sad,negative
nearly fell asleep jolted bed massive panic attack im not sure sleep,negative
gay made tonight,neutral
oh fck completely forgot thirsty thursday oh gaga suck,negative
one people wrong world blame people great world living shit,negative
nope sleeping cuz live east coast,positive
bet cool sr huh not havent stopped sweating since noon dad packing,neutral
eww dislike,negative
tactical mistake going city library buying milk knew ouch ouch ouch maybe good thing didnt try uni,negative
decided trans frm relaxed natural hair wish whole head looked like root age instant gratification,neutral
sorry bout cat,negative
need increase salary,neutral
stomach feel like touching groundim full,negative
pug woke incredible sleep,positive
cant wait hear new album im sure amazingplease replay love much,positive
soo much work little time,negative
missed iron chef,negative
d version suck,negative
bad day,negative
know ridiculous never got hang love chicago want go shopping trip sound like fun,positive
hate net ayaw bumukas ng twitter,negative
ugh internet,negative
omg didnt tweet much today sadness,positive
feeling giddy wanna go home,negative
week wasnt without adam lambert performance,neutral
link doesnt work,neutral
packing last day youth camp,negative
gossip girl coming back chacee,neutral
smh hiphop nursery rhyme,neutral
somebody please save polar bear,negative
noo look lot picture lol lol,positive
not really sleepy bored right word not much work,positive
come attention yo friend ive recently gained ton weight didnt know,negative
guess im staying home tonightno movieing,negative
went cd store search cd,negative
reminds weather month ago horrible hope well hug,negative
miss mom may angel lead,negative
there really no android twitter app tweeties calibre,positive
jacksonville beach walking cold as water work morning ily,negative
no not,neutral
feel way every day,negative
cant sleep suck one day sleep get go shopping mom ugh,negative
well got home not till tmw p comcast right didnt miss,neutral
sleppytime really missing godfather right love wayne,negative
headache right suck,negative
hope ya sleepin well guy still,negative
finished im not color drawing come,positive
lakers baby lakers ill miss game tmwr work youll keep posted please,negative
comfort food day pan mee though didnt taste good,negative
damn drunk hot suck,negative
miss baby,negative
not sleeping paperwork,negative
showered icecold water sweating mean one thing im sick,negative
midnight cry wish person wanted wanted right,negative
ima need follow real quick cause cant dm,neutral
im poorly cant sleep,negative
went pole class feeling discouraged hopeless cone dancing sexy move spreading leg,negative
poor unfortunate soul dont appear pant,negative
told often wash hair would never speak,negative
look like another sleepless night dedicated homework sorry advance m chapman,negative
u lot mock,negative
didnt say goodnight,negative
not pussy damnit sending email right btw,negative
work tom,negative
hongkong international airport wait hour next flight cebu,neutral
cant sleep nothing tv,neutral
pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven,positive
oh youve superseeded not good enough,neutral
today say goodbye second good friend week dmp least sun shinning im definately not working pm,negative
fuckinm transtelecom,negative
really really bored guess go bed,negative
met stranger min ago stalking store,negative
tee beefinwhat u supposed leavin,positive
sometimes thing say hurt one love unintentionally never ever take back fix,negative
suck,negative
ii know mean,neutral
fever dont feel work,negative
taking horse pill hoping get sleep tonight,negative
pgpm student pgpm student year back wish could stay one,neutral
missing day cant pas quick enough,negative
hey thats school hate place,negative
working home today back killing doctor physio later today,negative
back work no distraction,neutral
demi say hi enough replay please love much,positive
never noticed,neutral
suck well state start tomorrow im headin bed nitey nite,neutral
look like going nice work today annoying no choice,negative
guy keep set list forgot ask one xx,neutral
first impression silverlight sadly based saw today quite problematic,neutral
desperatly hoping dad take vanessa game,negative
hi fuck job,negative
missing deeply,negative
time go bed get go work,neutral
big vanessa going september going fast hard cuz im workin much miss alot,positive
sniff sniff take care ravel hopefully well chatting soon mean time ill hella miss,negative
lucky want teleport,neutral
somebody please save polar bear,negative
nose runny head pounding teeth hurt like bitch man feel awful,negative
dont want leave,negative
headin homerefreshed mind soul justa lil bitbac reality,positive
good lord seen agency work upcoming open day money jam,positive
wut,neutral
working fridaayy,negative
grove drag hell hope doesnt suck,negative
feel like shit saying happy belated birfdayy im month late,negative
lmaothats sad kinda discourages rom goin shit wack,negative
got home work finished cleaning need eat dinner dont know want ughoh well might not eat,positive
wish,negative
miss little batty month old got sick always fun full life even end,negative
fc finally time hate keep happening,neutral
seriously bored without anyone talk not tired enough sleep,neutral
morning hate morning offensive,negative
still give computer break omg,neutral
bed bed bed never answer text anymore thought day sent one never heard back sad day,negative
u,neutral
waah no longer peep,negative
lol wow dawg doesnt sound like youre playing feel bad haha,negative
extremly deep,positive
little foster kitten getting bigchubba winston going b missed get amazing home,positive
one week till exam block,positive
im not home cat right,neutral
hoping didnt fail english would sad,negative
know would great shoulder stop hurting sleep normal wantneed solid hour good sleep,negative
lenos last show tonight like better conan,neutral
im sorry bad driving experience,negative
dont,neutral
already miss,negative
plan may change noo,negative
sister douchebag,negative
there relisting fee dont complete sale suck,positive
random,neutral
knew shouldve worn sars mask plane socal feeling beginning sore throat,negative
gutted bathroom still isnt free early work isnt going happen need loo,negative
july long,neutral
aww wish could im stuck jab eye knitting needle,negative
wonder mnet show,positive
wearing glass give headache,neutral
stop talkin food haha fill like sum nw hha hows day goin starting,positive
finished sewing night uploading picture slidebar beach cant believe difficulty twitter,negative
thank cant wait umm btw ima crash still sick,negative
first work computer home laptop fucked,negative
liesgirlstell guy call phone see number real ohh phone isnt working try tomorrow,negative
beer friday melbourne cbd mtub mini cmon thirsty lonely bugger making feel like scotty no mate,negative
know came back st lose lead last minute,negative
gosh summer vacation almost philippine kinda sad wonder section,negative
page m twitterworld vote,neutral
im bummed cant wear sweet nike kick work,negative
twitter broken,negative
sleepgood night tweeties oc tomorrow hope pray rachyl get better soon,neutral
depressing im stuck inside day,negative
even saw news feed archie website cant believe hed choose veronica im disappointed,negative
hate sick miss,negative
im eating slider barjohnnys theyre pork tho not beef still search,neutral
getting ready school second math test today also last day rd year next week officially th year,positive
woke upi wanna stay bed,negative
depressed wasnt included morcom garden quiz facebook,negative
yeah still totally high soo notlooking forward aug sept,negative
upsidedown tomato plant died,negative
deep priecing soul,negative
oh come get next week get next week full exam,negative
friday last not much fun skint though,neutral
know dont tell anyone dont know dad told famz yet think im taking online,negative
caant iht earlier icant wait long ahar,negative
friday yay bonus dont drive wale tonight athough miss kitten cuddle going ride,positive
child promised birthday brekkie bed there problem there bugger food house,negative
woops realized dm not going,negative
dont think able get bed tomorrow morning see,neutral
cant use blackberry today suck,positive
q studio created open season google look dvd downstairs feeling lazy,positive
time changing,neutral
hate,negative
time tv bedthen spending day catching studying hate online summer class,negative
video not available u foreigner,neutral
wanted visit animal late,negative
pc agree problem must stop spending work,negative
jonaswebcast missed,negative
dang really look like crap sigh min shower min get ready,negative
waiting get picked,neutral
exhaustedcant sleep dont like night,negative
im gonna miss live comet action tomorrow go take care cousin dont access interwebz,negative
lol cant drink,positive
bill compton wii cant twitter,positive
sorry hear,negative
morning sport day today threelegged race mr pettigrew said im not aloud trip,negative
found cant drink bar boo missing e palomino no cheer sad face,negative
cannot sleep hour tossing turning,negative
omg going die swine flu go melbourne,negative
packing dont like,negative
dang not certain okay,neutral
wish dave gilmour roger water would reunite pink floyd concert,neutral
finished whole box ice cream,negative
horse town blown car speaker,neutral
someone make coffee,neutral
plus deposited tax return cheque first time year didnt clear immediately,negative
photo martwo omg love accadentally deleted photo yay he beautiful,positive
knooww hot water bottle iss whangamata without ahh,negative
nose stuffy,neutral
last night newport,neutral
thanks rt sorry new place domestic,positive
ok shoe club cool fun poppin except ppl tryna dance wit,positive
holy crap raining la dont jacket oh no,negative
aright twitter fam guess ima outties gonna try n sleep horrible pain,neutral
baby not recieving vaccine,neutral
wish could attend e year small event like nba stanley cup final keep getting way work work work,negative
lol hi emmy latin would help study aptitude test get grad school thats wanna take,positive
btw not wimp,negative
lol yeah yeah big perv hoping see next week scrapped plan,positive
rejecting food substance,negative
no trying interview dr paul twomey ceo icann phone issue cut interview min,negative
cant add myspace girly asks last name email,negative
back vienna soo tired luggage lost manchester great good outcome seminar mb great people around,negative
dont think take needle watched horribly gory short film drug month ago im scarred life,negative
dont wanna go back work sleepy time,negative
feel not good,negative
watching biggest loser hallmark never fails make cry nyeh,neutral
suck old actually,neutral
thinking getting work,negative
still confuse,neutral
naughty girl tonight dissappointed,negative
thats better missy telling biggest loser,negative
noo go orlando omg im gonna cry,negative
aahh soo sweet miss age soo much,positive
saw fox getting freeway hope go home,positive
scratch sleep stage bound,neutral
recapping britain got talent britain seems talented america,positive
cnt get goin ur old message help,neutral
good time rocking open mic thanks love n support working business plan presentation no cg nite,positive
swimming no go,neutral
morning john yes however diary clash sadly cant attend,negative
miss friend,negative
ohh ic ic haha iyaa summer filled one course last whole summer,neutral
yea saw really sad commercial,negative
hmm using tinytwitter small nontouch screen really not much fun,negative
lettuce spinach best cool weather live floridanot much luck growing,positive
oh love em think kind preservative theyre using stay justbaked kinda make sick,positive
unfortunately not,neutral
new lens isnt working worked bit give fee error,negative
hate sleep alone,negative
need new phone,neutral
back school almost weekend oh wait gotta work eight four tonight,negative
loved johnny carson im going hate seeing jay leno go,negative
even though everyone wanted newish song teacher agreed old grumpy doesnt like u happy haha,negative
english essay rjwtf done long time ago assigned last thursday,negative
think much,negative
ya suffering whole day yesterday met dentist feel bit better still look like rocky balboa though,negative
didnt end really eating snack sigh,negative
finallythe internet server phoenix fucked,positive
ups ketauan cabut nih gimana dong,neutral
sorry guy drop trip personal commitment,negative
didnt get callback play cried oh well guess back techie,negative
awesome wish could fly see,positive
kinda wish went cant fall asleep,negative
nope het lostfound,positive
rocky cola diner whittier tonight teacher pal mr b great time chatting no one else came,negative
bed still exhausted vega,neutral
lol true maybe next year looved siggy dont remember password mod thing cake,positive
umm soo yehits really hard concentrate rite wen weird lupus feeling goin thro body,negative
ouch look painful,negative
took hour nap work today wont able sleep night bummer,neutral
know enjoy watching two twitter entertaining comic miss,positive
loving lil ken absolutely dreading saying goodbye less week,neutral
not yet sorry,negative
want sit back relax little difficult,negative
thought best friend,negative
hii thatsï¿½mee woke going school,neutral
fall asleep know feel lol drag hell tonight quite excited,negative
god cant even catch public transport swine flu shit house,negative
dad said trip uk cancelled due da swine flu oops sorry abang,negative
asks karma point please,neutral
hahaha alright,positive
wake earlier thought dad want take food noo,negative
someone take la need see lemon tree,positive
um dont think text msg subject line fail,negative
tummy ache,negative
math quiz meow allergy meow allergy,positive
want see friend,positive
youre far away dont know,negative
la said wipe slate clean jelly,neutral
who one always working oh yeah still,positive
unless invite come beta key im not going much help,neutral
not live,neutral
im sorry andrew wish something could,negative
finsh work eleven even allowd cauz really dont want lol,negative
anybody im soo bored,neutral
im not chasetons either please dont die heart really sad,negative
interesting show say least recap tomorrow first must sleep work,positive
feel like hot box no matter go still feel like hot box ice cream isnt working n e,negative
sad please get better grandma,negative
uugh hate everything,negative
gosh today weather horriterrible extreme hotness im losing lot water weight nothing,negative
taking moment reflecti want annonymity backfb safe say anything someone else another friend,negative
hey peter thanks follow many sydney pastor tweet shame no bris pastor twitter behind,positive
ï¿½ cant im not sister house no ï¿½net tonite,neutral
damn hi facebook whats wrong cant add photo,neutral
aku kbangun gara mimpi bad dream,positive
follower follow ill love pout please,neutral
aww annoying,negative
dont even wii b like xbox thats use,neutral
cant sleep darn frustrating,negative
didnt get see tonight,neutral
bff rocking hotel california no song done stay whats next hmm careless whisper,positive
one day loneliness creep slap face,negative
rip kelly fucck,negative
well dont vacation let not go,negative
think im ignoredby best friend jakea hate ignored b know thing go,negative
love way didnt end time go week im soo sorry next week sure,positive
nd last episode jay leno itll never nite twitter,neutral
not feeling good,negative
ok time nodd gonna long day tomorrow saying goodbye car good,negative
fakin kishajust luck,neutral
taking nap workno sleep right nap felt soo good seems like bad idea,negative
going home ive seriously enough,negative
counting minute dad gfriend leaving,positive
miss oklahomaa listening citizen cope til pas,negative
tenseso emotionalso not,neutral
fun miss guy lot,positive
